GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hotel,net.mooctest,Inventory,47,85,9,9,8,17,10,5,1,5
Hotel,net.mooctest,Product,95,0,6,0,21,0,11,0,8,0
Hotel,net.mooctest,Employee,68,0,2,0,13,0,7,0,6,0
Hotel,net.mooctest,Book,69,15,4,0,13,6,9,1,7,1
Hotel,net.mooctest,Library,27,36,3,3,4,12,4,5,1,5
Hotel,net.mooctest,User,24,56,2,8,2,17,4,8,2,5
Hotel,net.mooctest,Order,0,103,0,4,0,21,0,10,0,8
Hotel,net.mooctest,BankAccount,19,151,0,12,1,31,1,13,1,7
Hotel,net.mooctest,TaskManager,22,47,4,6,3,13,5,6,1,5
Hotel,net.mooctest,Student,39,62,3,5,5,15,6,5,3,4
